input,stereo_antistereo,bias_type,person_related,label,target,connotation,gram_form,ling_form,content,behaviour_characteristic_trait,situation,generalization,explanation,signal_word
"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.",stereo,race-color,yes,black kids,generic target,neutral,noun,subset,characteristic: black kids do not have the best education growing up.,yes,enduring characteristics,abstract,yes,typical
the girl was sprawled out and it was obvious a black man had attacked her on her way home.,stereo,race-color,yes,a black man,specified target,neutral,noun,generic,behaviour: a black man has attacked her on the way home. ,yes,situational behaviour,concrete,no,none
Asians cant drive because they have slanted eyes,stereo,race-color,yes,Asians,generic target,neutral,noun,generic,characteristic: Asians cant drive because they have slanted eyes,yes,enduring characteristics,concrete,yes,none
We can't go to that one in a Mexican neighborhood. You might be forced to buy drugs.,stereo,race-color,yes,a Mexican neighborhood,specified target,neutral,noun,subset,behaviour: They might sell drugs in a Mexican neighborhood,yes,enduring characteristics,abstract,no,none
Blacks never listen to their parents.,stereo,race-color,yes,Blacks,generic target,neutral,noun,generic,behaviour: Black people never listen to their parents,yes,enduring characteristics,concrete,no,typical
Blacks are never feeling scared to move.,stereo,race-color,yes,Blacks,generic target,neutral,noun,generic,characteristic: Blacks are not afraid to move,yes,enduring characteristics,abstract,no,typical
"My coworker, Jamal, had a terrible relationship with his son and hardly ever saw him.",stereo,race-color,yes,Jamal,specified target,neutral,other,individual,behaviour: Jamal has a terible relationship with his son and hardly sees him,yes,enduring characteristics,abstract,no,none
Women don't know how to drive.,stereo,gender,yes,Women,generic target,neutral,noun,generic,characteristic:women not knowing how to drive,yes,enduring characteristics,abstract,no,none
Jamal made a real athletic play that gave the team their first lead of the game.,stereo,race-color,yes,Jamal,specified target,neutral,other,individual,behaviour: Jamal made a real athletic play ,yes,situational behaviour,concrete,no,none
He looked like a black rapper in drugs.,stereo,race-color,yes,Black rapper,specified target,neutral,noun,generic,characterisitc: he looked like a black rapper ,yes,enduring characteristics,abstract,no,none
My mom spent all day cooking for Thanksgiving,stereo,gender,yes,My Mom,specified target,neutral,noun,individual,behaviour: She cooked all day gor Thanksgiving,yes,situational behaviour,concrete,no,none
Cheryl was bad at saving money and thus had a financial crisis,stereo,gender,yes,Cheryl,specified target,neutral,other,individual,characteristic: She is bad at saving money thus has a financial crisis,yes,enduring characteristics,abstract,yes,none
Jenny watched in astonishment as the world class scientist had just created talking cells.,stereo,gender,yes,Jenny,specified target,neutral,other,individual,behavior: She watched the world class scientist in astonishment when he jsut created talking cells,yes,situational behaviour,concrete,yes,none
That Afro-American man was so tall it took an extra half hour to completely examine him.,stereo,race-color,yes,Afro-American man,specified target,neutral,noun,individual,characterisitic: The Afro-American man are so tall,yes,enduring characteristics,abstract,no,none
Women don't know how to drive in the rain.,stereo,gender,yes,Women,generic target,neutral,noun,generic,characteristic: Women cant drive in the rain,yes,enduring characteristics,concrete,no,none
It's typical of Latinos to care more about their social lives than their careers.,stereo,race-color,yes,Latinos,generic target,neutral,noun,generic,chracteristic: Latinos care about their social lives ,yes,enduring characteristics,abstract,no,typical
Jerome went up inside and told everyone to stick their hands up.,stereo,race-color,yes,Jereome,specified target,neutral,other,individual,behaviour:He went up inside and told everyone to stick their hands up,yes,situational behaviour,concrete,no,none
He did not think he would get sunburn because he was black,stereo,race-color,yes,black,specified target,neutral,adjective,individual,chracteristic:Blacks dont get sunburns,yes,enduring characteristics,abstract,yes,none
"Those rats are African American, they are always squealing and turning other people in like narcs.",stereo,race-color,yes,Those rats  are African American,specified target,negative,noun,subset,behaviour: African Americans turn people in and squeal,yes,enduring characteristics,abstract,no,typical
